Model,Accuracy,Recall,F1-Score
Naive Bayes,0.625,0.5303418803418803,0.5250440917107584
Regresion Logística,0.6785714285714286,0.5226495726495727,0.5305066797002281
Random Forest,0.625,0.49252136752136755,0.45877250768555117
Gradient Boosting,0.5714285714285714,0.4797008547008548,0.4643224125982747
SVM,0.6964285714285714,0.5576923076923077,0.5659754224270354
K-Nearest Neighbors,0.625,0.536965811965812,0.5645112781954887
AdaBoost,0.5,0.3145299145299145,0.25999209052521466
XGBoost,0.6785714285714286,0.5786324786324787,0.5854425144747725
