Model,Accuracy,Recall,F1-Score
Naive Bayes,0.48412698412698413,0.37916666666666665,0.3690706669873336
Regresion Logística,0.5548340548340548,0.3865740740740741,0.35559324934324926
Random Forest,0.5952380952380952,0.4231481481481482,0.3999619797413915
Gradient Boosting,0.5227272727272728,0.40324074074074073,0.38129586462919796
SVM,0.5782828282828283,0.4138888888888889,0.3768802185468852
K-Nearest Neighbors,0.4372294372294372,0.3166666666666667,0.28889493766944746
AdaBoost,0.4707792207792208,0.30648148148148147,0.25077490112824613
ExtraTrees,0.6334776334776334,0.5074074074074074,0.4936263400724185
